"CouncilSiteID","Date","Value","Measurement","Units","Censored","CenType","QC","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Lat","Long","accessDate","Catchment","Landcover","Altitude","AltitudeCl"
"burkes ck @ sh69","06-Nov-19","0.015","NH4","",FALSE,"FALSE","0","burkes ck @ sh69","wcrc-00005",12019493,"west coast","wcrc","upland","Rural",-42.08800417,171.84740747,"31-Jul-2020","lower buller","Rural",207,"Upland"
"burkes ck @ sh69","05-Dec-19","0.023","NH4","",FALSE,"FALSE","0","burkes ck @ sh69","wcrc-00005",12019493,"west coast","wcrc","upland","Rural",-42.08800417,171.84740747,"31-Jul-2020","lower buller","Rural",207,"Upland"
"arnold rv @ blairs rd no. 2 br","10-Jan-05","0.014","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","05-Apr-05","0.007","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","21-Jul-05","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","13-Feb-06","0.018","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","08-May-06","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","10-Apr-08","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","21-Oct-08","0.005","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","03-Feb-09","0.008","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","25-Apr-09","0.009","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","17-Jun-09","0.005","TP","g/m3",TRUE,"Left","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","21-Oct-09","0.007","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","08-Dec-09","0.008","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","25-Feb-10","0.007","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","06-May-10","0.016","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","15-Jun-10","0.005","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","24-Aug-10","0.005","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","28-Oct-10","0.01","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","15-Dec-10","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","24-Feb-11","0.01","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","14-Apr-11","0.009","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","28-Jun-11","0.017","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","25-Aug-11","0.007","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","20-Oct-11","0.007","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","19-Dec-11","0.011","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","21-Feb-12","0.008","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","24-Apr-12","0.005","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","29-Jun-12","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","31-Aug-12","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","24-Oct-12","0.009","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","12-Dec-12","0.014","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","25-Feb-13","0.008","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","18-Apr-13","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","12-Jun-13","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","12-Aug-13","0.012","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","28-Nov-13","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","12-Dec-13","0.009","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","25-Feb-14","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","29-Apr-14","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","09-Jul-14","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","25-Nov-14","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","07-Jan-15","0.009","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","20-Apr-15","0.008","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","17-Jun-15","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","14-Oct-15","0.01","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","10-Dec-15","0.01","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","27-Apr-16","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","29-Jun-16","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","27-Sep-16","0.011","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","24-Nov-16","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","14-Dec-16","0.007","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","24-Feb-17","0.005","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","31-Mar-17","0.009","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","21-Apr-17","0.007","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","26-Apr-17","0.007","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","08-May-17","0.007","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","02-Jun-17","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","05-Jul-17","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","08-Aug-17","0.008","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","11-Sep-17","0.009","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","20-Oct-17","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","28-Nov-17","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","12-Dec-17","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","09-Jan-18","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","13-Feb-18","0.007","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","13-Mar-18","0.005","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","10-Apr-18","0.013","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","08-May-18","0.013","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","12-Jun-18","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","10-Jul-18","0.013","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","14-Aug-18","0.004","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","11-Sep-18","0.004","TP","g/m3",TRUE,"Left","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","09-Oct-18","0.004","TP","g/m3",TRUE,"Left","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","06-Nov-18","0.01","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","13-Dec-18","0.01","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","08-Jan-19","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","12-Feb-19","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","12-Mar-19","0.005","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
"arnold rv @ blairs rd no. 2 br","09-Apr-19","0.006","TP","g/m3",FALSE,"FALSE","0","arnold rv @ blairs rd no. 2 br","wcrc-00031",12020636,"west coast","wcrc","lowland","Forest",-42.48180414,171.37623219,"31-Jul-2020","grey river","Forest",41,"Lowland"
